                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 0.2842,                0.26924,                0.89647,                0.95274,                0.92081,                0.95795,                 0.8023,                0.19678,                0.20581,                0.86862,               0.001288,               0.001288,               0.001288
                    135,                0.28069,                0.26747,                0.89575,                0.95229,                0.92102,                0.95764,                0.80265,                0.19623,                0.20545,                0.86835,               0.001222,               0.001222,               0.001222
                    136,                0.28006,                0.26837,                0.89548,                0.95223,                0.92125,                 0.9579,                0.80291,                0.19577,                0.20495,                0.86812,               0.001156,               0.001156,               0.001156
                    137,                0.27815,                0.26588,                0.89328,                0.95201,                0.92101,                 0.9579,                0.80301,                0.19523,                0.20457,                0.86786,                0.00109,                0.00109,                0.00109
                    138,                0.28097,                0.26705,                0.89355,                0.95227,                0.92155,                0.95794,                0.80373,                0.19479,                0.20412,                0.86761,               0.001024,               0.001024,               0.001024
                    139,                0.27826,                0.26633,                 0.8944,                0.95299,                0.92159,                0.95803,                0.80404,                0.19429,                0.20371,                0.86733,               0.000958,               0.000958,               0.000958
                    140,                0.27263,                0.26177,                0.89228,                0.95209,                 0.9218,                0.95796,                0.80386,                0.19382,                0.20329,                0.86707,               0.000892,               0.000892,               0.000892
                    141,                0.25959,                0.24452,                0.88469,                0.95131,                0.92091,                0.95779,                 0.8039,                0.19345,                  0.203,                0.86685,               0.000826,               0.000826,               0.000826
                    142,                0.24376,                0.23437,                 0.8772,                 0.9517,                0.92115,                0.95834,                0.80421,                0.19306,                0.20256,                0.86665,                0.00076,                0.00076,                0.00076
                    143,                0.23889,                0.23165,                0.87663,                 0.9519,                0.92249,                0.95866,                 0.8049,                0.19273,                0.20221,                0.86646,               0.000694,               0.000694,               0.000694
                    144,                0.23373,                0.22709,                0.87465,                0.95205,                0.92259,                0.95881,                0.80541,                0.19227,                0.20174,                0.86623,               0.000628,               0.000628,               0.000628
                    145,                0.23066,                0.22537,                0.87279,                0.95185,                0.92388,                0.95974,                0.80589,                0.19197,                0.20141,                0.86607,               0.000562,               0.000562,               0.000562
                    146,                0.22997,                0.22499,                0.87272,                0.95304,                0.92366,                0.95989,                0.80636,                0.19169,                0.20117,                0.86592,               0.000496,               0.000496,               0.000496
                    147,                0.22744,                0.22364,                0.87072,                 0.9518,                0.92379,                0.95975,                 0.8061,                0.19136,                0.20086,                0.86575,                0.00043,                0.00043,                0.00043
                    148,                0.22541,                0.22113,                0.86948,                 0.9525,                0.92325,                0.95982,                0.80624,                0.19108,                0.20059,                 0.8656,               0.000364,               0.000364,               0.000364
                    149,                 0.2248,                 0.2206,                0.86984,                0.95331,                0.92272,                0.96002,                0.80654,                0.19079,                0.20032,                0.86545,               0.000298,               0.000298,               0.000298
                    150,                0.21864,                0.21608,                0.86907,                0.95366,                0.92349,                0.96045,                0.80713,                0.19056,                0.20011,                 0.8653,               0.000232,               0.000232,               0.000232
