                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.80618,                0.49238,                0.98259,                0.90302,                0.84484,                0.90909,                0.69032,                0.67596,                 0.4017,                0.94148,               0.006634,               0.006634,               0.006634
                     54,                0.80236,                0.48885,                0.98045,                0.90487,                 0.8499,                0.91062,                0.69199,                0.67023,                0.39988,                0.93948,               0.006568,               0.006568,               0.006568
                     55,                0.79597,                0.48247,                0.97843,                0.92224,                0.83707,                0.91291,                0.69881,                0.66666,                0.39565,                0.93861,               0.006502,               0.006502,               0.006502
                     56,                0.79394,                0.48416,                0.97563,                0.90671,                0.84724,                0.91208,                0.70094,                0.66309,                0.39342,                0.93752,               0.006436,               0.006436,               0.006436
                     57,                0.78713,                0.47783,                0.97151,                0.91383,                0.84815,                0.91331,                0.70017,                0.65951,                 0.3901,                0.93494,                0.00637,                0.00637,                0.00637
                     58,                0.78515,                0.47874,                0.97359,                 0.9226,                0.85474,                0.91895,                0.70795,                0.65518,                0.38775,                0.93315,               0.006304,               0.006304,               0.006304
                     59,                 0.7827,                0.47246,                0.97215,                0.91644,                0.85199,                0.91644,                0.70688,                0.64851,                0.38272,                0.93045,               0.006238,               0.006238,               0.006238
                     60,                0.78024,                0.47161,                 0.9705,                0.92448,                0.85462,                0.92224,                0.71096,                0.64736,                0.38244,                  0.929,               0.006172,               0.006172,               0.006172
                     61,                0.77528,                0.46829,                0.96791,                0.91631,                0.85822,                0.92262,                 0.7147,                0.64296,                0.38085,                0.92801,               0.006106,               0.006106,               0.006106
                     62,                0.77439,                0.47016,                0.96893,                0.92896,                0.85202,                0.92218,                0.71596,                0.63633,                0.37876,                0.92479,                0.00604,                0.00604,                0.00604
                     63,                0.77134,                 0.4641,                0.96478,                0.91778,                0.86294,                0.92287,                0.72075,                0.63433,                0.37452,                0.92414,               0.005974,               0.005974,               0.005974
                     64,                0.76701,                0.46339,                0.96588,                   0.94,                0.85682,                0.92612,                0.72246,                0.62996,                0.37258,                0.92172,               0.005908,               0.005908,               0.005908
                     65,                0.76413,                0.46249,                 0.9613,                0.92546,                0.85774,                0.92201,                0.72191,                 0.6269,                0.37146,                0.91942,               0.005842,               0.005842,               0.005842
                     66,                0.76097,                0.45942,                0.96066,                0.93258,                0.86073,                0.92592,                0.72526,                0.62334,                0.36851,                0.91822,               0.005776,               0.005776,               0.005776
                     67,                0.75477,                0.45559,                0.95894,                0.93464,                0.86049,                0.92423,                0.72377,                0.62212,                0.36663,                0.91756,                0.00571,                0.00571,                0.00571
                     68,                0.75547,                0.45213,                0.95774,                0.93958,                0.86018,                0.92555,                0.72878,                0.61629,                0.36347,                0.91562,               0.005644,               0.005644,               0.005644
                     69,                0.75206,                0.45348,                0.95616,                0.93486,                0.87062,                0.92871,                0.72972,                0.61485,                0.36393,                0.91523,               0.005578,               0.005578,               0.005578
                     70,                0.74797,                0.45134,                0.95508,                0.92865,                0.87132,                0.92876,                0.73326,                0.60965,                0.36191,                0.91247,               0.005512,               0.005512,               0.005512
                     71,                0.74656,                0.44766,                 0.9529,                0.93495,                0.86934,                0.93046,                0.73224,                0.60759,                0.35954,                0.91097,               0.005446,               0.005446,               0.005446
                     72,                0.74568,                0.44719,                0.95213,                0.93656,                0.86918,                0.93037,                0.73547,                0.60466,                0.35729,                 0.9103,                0.00538,                0.00538,                0.00538
                     73,                0.74082,                0.44722,                0.95314,                0.93839,                0.87334,                0.93211,                0.73827,                0.60232,                0.35606,                0.90865,               0.005314,               0.005314,               0.005314
                     74,                0.74301,                0.44363,                0.95017,                 0.9352,                0.87363,                 0.9341,                0.74026,                0.59962,                0.35453,                0.90728,               0.005248,               0.005248,               0.005248
                     75,                0.73443,                0.44077,                0.94895,                0.93001,                0.88054,                0.93404,                0.74296,                0.59572,                0.35199,                0.90578,               0.005182,               0.005182,               0.005182
                     76,                0.73643,                0.44128,                0.94934,                0.94762,                0.86889,                0.93582,                0.74446,                0.59329,                0.34995,                0.90494,               0.005116,               0.005116,               0.005116
                     77,                0.72829,                0.43692,                0.94703,                0.93646,                0.87479,                0.93436,                0.74619,                0.59021,                0.34916,                0.90408,                0.00505,                0.00505,                0.00505
                     78,                0.72482,                0.43289,                0.94434,                0.94087,                0.87962,                0.93582,                0.74871,                0.58829,                0.34765,                0.90271,               0.004984,               0.004984,               0.004984
                     79,                 0.7232,                0.43409,                 0.9442,                0.94022,                0.87677,                0.93588,                0.74865,                0.58571,                0.34608,                0.90139,               0.004918,               0.004918,               0.004918
                     80,                0.72361,                0.43199,                0.94373,                   0.94,                0.87804,                0.93629,                0.75104,                0.58258,                0.34451,                0.89999,               0.004852,               0.004852,               0.004852
                     81,                0.71785,                 0.4297,                 0.9419,                0.94407,                0.88184,                0.93715,                0.75389,                0.57933,                0.34199,                0.89842,               0.004786,               0.004786,               0.004786
                     82,                0.71699,                0.42785,                0.94257,                0.94731,                0.87956,                0.93727,                0.75487,                0.57803,                0.34078,                0.89827,                0.00472,                0.00472,                0.00472
                     83,                0.71273,                0.42518,                0.94003,                0.94162,                0.87977,                0.93746,                 0.7571,                0.57462,                0.33894,                0.89652,               0.004654,               0.004654,               0.004654
                     84,                0.71018,                0.42396,                0.93769,                0.94451,                 0.8743,                0.93712,                0.75715,                0.57279,                0.33784,                0.89546,               0.004588,               0.004588,               0.004588
                     85,                0.71064,                0.42418,                0.93879,                0.95175,                0.87313,                0.93751,                0.75984,                0.57018,                0.33643,                0.89455,               0.004522,               0.004522,               0.004522
                     86,                0.70871,                0.42162,                0.93546,                0.95151,                 0.8763,                0.93869,                0.76298,                0.56826,                 0.3349,                0.89354,               0.004456,               0.004456,               0.004456
